video_id,newspaper,video_text,video_description,video_topic,num_comments,num_offensive_comments,offensive_score,offensive_trigger,type,true_label,pred_label
3Ww6j-AGu_E,corriere_della_sera,Come ti immagini il futuro? | CORRIERE DELLA SERA 150 - con Raffaella Pannuti,"Raffaella Pannuti, Presidente della Fondazione ANT, racconta il valore di un impegno che ogni giorno fa la differenza.
Cura, assistenza e dignità: sono questi i pilastri su cui si fonda l’attività di ANT, da sempre accanto ai pazienti oncologici e alle loro famiglie.
Un contributo concreto al welfare sanitario, che mette al centro la persona e il diritto a un’assistenza gratuita e di qualità.

Powered by Fondazione Ant",health,0,0,0.0,0,silver,0,0
3_vBPVuQQf8,corriere_della_sera,Riportati in superficie i primi due corpi dei sub italiani morti alle Maldive,Recuperati i primi due corpi dei sub italiani morti nella grotta alle Maldive: lo conferma il portavoce del presidente del Paese. Il recupero degli ultimi due cadaveri verrà effettuato domani.,"disaster, accident and emergency incident",2,0,0.0,0,silver,0,0
3goS8XxWcsU,corriere_della_sera,"Milano, sospetti casi di Ebola: al Sacco protocollo sanitario speciale per due pazienti","All'ospedale Sacco di Milano, specializzato in casi di malattie infettive, è stato attivato il protocollo speciale per due pazienti ritenuti a rischio Ebola. L'alert è scattato all'alba a Lurate Caccivio e Bulgarograsso, nel Comasco, per due persone giunte nei due Comuni ed entrambe sbarcate alle 5.50 di domenica a Malpensa con un volo da Addis Abeba.",health,4,3,0.6843,0,silver,0,1
3wB-3Mgq6G0,corriere_della_sera,Il cardinale Pizzaballa: “Il video di Ben Gvir ferisce ma non sorprende: è la cultura del disprezzo”,"«Le immagini della Flotilla non sorprendono del tutto chi conosce da vicino questa terra, ma ogni volta feriscono, perché mostrano qualcosa che va oltre il singolo episodio. Non sono semplicemente scene di tensione: rivelano un clima, un modo di guardare l’altro che si è progressivamente deteriorato. È questo, forse, l’aspetto più preoccupante: non tanto il fatto in sé, quanto ciò che lo rende possibile».
Il cardinale Pierbattista Pizzaballa, patriarca di Gerusalemme, guiderà domani pomeriggio la Veglia di Pentecoste, una preghiera per la pace nella chiesa del convento salesiano di Ratisbonne. La situazione è un po’ migliorata rispetto a quando non potè celebrare la Domenica delle Palme: «Con il cessate il fuoco il Santo Sepolcro è aperto e non ci sono restrizioni, anche se il clima in generale resta teso in certe parti della città».",religion,21,16,0.8245,1,silver,1,1
4-qKoGqkRAg,corriere_della_sera,"Davide Cavallo, accoltellato in Corso Como: “Dopo le scuse dentro di me qualcosa si è ricucito”","Lo ha scritto. Lo ha fatto. L’abbraccio, da simbolico, annunciato in una lettera in cui esprimeva parole di comprensione per i ragazzi che lo hanno accoltellato, è diventato concreto, fisico. Davide Simone Cavallo li ha rivisti in faccia ieri. Due dei cinque ragazzi che in una folle aggressione dello scorso autunno lo hanno costretto all’invalidità. Durante l’attesa della sentenza ha avuto un momento di avvicinamento con loro. Poi è arrivata la decisione del giudice (20 anni per Alessandro Chiani, che lo ha colpito; dieci mesi per Ahmed Atia, per omissione di soccorso). Se la famiglia di Davide, come sottolineato dai propri legali, non si è detta «disposta a perdonare», lui invece ha dichiarato di andare verso quella direzione.
Davide, che giornata è stata? Come si sente?
«Davvero particolare. Nulla è stato facile».
Aveva dichiarato, prima del processo, che si aspettava una decisione «lucida e giusta». È andata così?
«Non sono felice, quando uno immagina cosa voglia dire per un ragazzo così giovane una condanna a 20 anni: farebbe male a chiunque. Sono contento da un punto di vista giuridico. Il giudice è stato bravo e intelligente, sento che è stata fatta giustizia, non mi sento preso in giro. Sono stati tutti molto professionali, anche i difensori. Ma soprattutto — ripeto — è il giudice che mi ha colpito; ha preso una decisione dura, coraggiosa però chiara, molto netta. Ha voluto dire: “Non andate in giro con i coltelli”».
All’altro ragazzo è andata diversamente.
«Penso sia stata una valutazione giusta anche per lui. E poi si è mostrato realmente pentito».
È stato coerente con quanto scriveva nella sua lettera. Ha abbracciato i suoi aggressori. Ci racconta come è andata?
«Le scuse le ho ricevute da entrambi, ma quelle di Atia sono state particolarmente sentite. Sono entrato in aula, e credevo di non avere la possibilità di parlare con loro. Questo mi disturbava».","crime, law and justice",29,14,0.8026,1,silver,1,1
5tuRWlN0Zc0,corriere_della_sera,Il padre del tifoso della Juve ferito: “Non c’è stato un peggioramento”,"«Spero che mio figlio si riprenda e non abbia danni permanenti. Ho fatto il viaggio da Casale Monferrato alle Molinette temendo di vederlo su un tavolo di marmo, ho avuto la benedizione di vederlo ancora in vita e questo un po’ mi aiuta». Pierluigi Basoccu si è precipitato a Torino nella serata di domenica, quando ha saputo dell’incidente che aveva coinvolto il figlio Marco durante le tensioni prima del derby.",sport,0,0,0.0,0,silver,0,1
6ZPpR075vGo,corriere_della_sera,"Flotilla, intercettate tutte le barche: 29 italiani trattenuti da Israele. Tajani chiede verifiche","Sul tracker online della Global Sumud Flotilla, che dà conto della rotta delle barche dirette a Gaza, si vedono solo dei pallini rossi. Una dopo l’altra le 54 imbarcazioni partite dalla Turchia sono state intercettate dalla marina israeliana nel Mediterraneo orientale. Martedì pomeriggio è stato fermato anche Dario Salvetti, del Collettivo di fabbrica ex Gkn, che poche ore prima aveva detto al Corriere: «Continueremo anche se resterà una sola barca in mare». Le ultime immagini mostrano soldati israeliani sui gommoni Zodiac avvicinarsi alle imbarcazioni, gli equipaggi con i giubbotti di salvataggio e le mani alzate. Poi il buio.
La tensione è salita ulteriormente nel pomeriggio quando la portavoce italiana della Flotilla, Maria Elena Delia, ha denunciato che la Marina israeliana avrebbe aperto il fuoco contro alcune imbarcazioni. «Stanno sparando proiettili, non sappiamo se veri o di gomma», ha dichiarato, sostenendo che sei barche sarebbero state colpite, tra cui la Girolama battente bandiera italiana. Israele non ha commentato direttamente l’accaduto. Video diffusi dalla diretta streaming mostrano colpi sparati durante gli abbordaggi, ma non è chiaro il tipo di munizionamento utilizzato e al momento non risultano feriti.","conflict, war and peace",60,48,0.8657,1,silver,1,1
6jPBpasRVZA,corriere_della_sera,"Marco Basoccu, ferito alla testa prima del derby Torino-Juventus: sono otto i tifosi arrestati","Alcune telecamere di videosorveglianza avrebbero ripreso il momento del ferimento di Marco Leonardo Basoccu, il tifoso della Juventus rimasto ferito ieri pomeriggio a Torino negli scontri che hanno preceduto il derby della Mole. Il 36enne, appartenente ai Viking, sarebbe stato ripreso in piazzale San Gabriele di Gorizia, poco lontano dallo Stadio Olimpico Grande Torino al momento delle tensioni e successivamente immortalato mentre si accascia subito dopo aver superato il varco d’ingresso del settore ospiti. Nel frattempo sono otto i tifosi arrestati, undici i Daspo.",sport,1,1,0.5,0,silver,0,1
775CC6cxmWw,corriere_della_sera,"Condannati a 20 anni e 10 mesi gli aggressori di Davide Cavallo, accoltellato a Milano","Una pena altissima per l'esecutore materiale: 20 anni. Dieci mesi per il complice, reo di omissione di soccorso. È stata pronunciata poco dopo le 13 di oggi, mercoledì 20 maggio, la sentenza di primo grado per l'aggressione a Davide Simone Cavallo, studente 23enne che, accoltellato in Corso Como nell'orrobre 2025 per una sigaretta, è rimasto invalido. L'accusa per Alessandro Chiani, monzese, neo 19enne, aveva chiesto 12 anni e 10 per Mohamed Atia.","crime, law and justice",19,13,0.8099,1,silver,1,1
7Plq0piN6gQ,corriere_della_sera,Francesca Pascale: “Il patrimonio di Berlusconi lo investo nel mattone”,"La relazione decennale con Silvio Berlusconi, l’amore naufragato con Paola Turci, la grande villa in Toscana con i suoi «moltissimi cagnolini» e, adesso, l’«attività immobiliare» tra Roma, Fregene e Fiesole, con un sogno nel cassetto: tornare a fare politica attiva. Fra gioie e dolori Francesca Pascale, donna che a 20 anni cenava con i capi di Stato, a 40 si rimette in gioco a tutto campo. «Sono presa da mille cose e ho tanti progetti».
Pochi giorni fa la sua ex compagna Paola Turci ha rilasciato un’intervista. Vuole replicare?
«Non ho nulla da replicare o da aggiungere. Per me è un capitolo chiuso».",human interest,7,6,0.7702,1,silver,1,1
8T5oxeWyCgg,corriere_della_sera,"Maldive, la legale del tour operator italiano: “Non sapevamo dell’immersione oltre i 30 metri”","«Non sapevamo che si sarebbero immersi oltre i trenta metri. E se lo avessimo saputo, non lo avremmo mai consentito». Orietta Stella, legale di Albatros Top Boat - società italiana che opera (gestisce ma senza equipaggio) lo yacht coinvolto nella strage di sub italiani e di proprietà di un armatore maldiviano - scandisce la frase che diventa la linea difensiva del tour operator finito al centro della tragedia delle Maldive. Cinque morti nell’atollo di Vaavu, una grotta ad almeno cinquanta metri di profondità, una crociera scientifica trasformata in un caso internazionale.
Avvocato Stella, Albatros Top Boat sapeva che giovedì scorso era prevista un’immersione oltre i trenta metri?
«No. Non solo non lo sapeva, ma non l’avrebbe mai consentita».
Perché?
«Perché non era prevista. Alle Maldive, per quel tipo di immersioni, scendere oltre i trenta metri costituisce una violazione amministrativa. Per superare quel limite serve un provvedimento specifico dell’autorità marittima maldiviana. Questa autorizzazione, almeno da parte nostra, non era stata chiesta».
Quindi Albatros Top Boat esclude di aver autorizzato quell’immersione?
«Lo esclude categoricamente. Peraltro Albatros Top Boat è un tour operator che opera la barca Duke of York, non è l’armatore e non aveva dipendenti a bordo»","disaster, accident and emergency incident",17,9,0.7762,1,silver,1,1
8btSf_jcUE4,corriere_della_sera,"Sempio non si farà interrogare. La difesa: “I soliloqui in auto erano commenti, non confessioni”","Un lavoro iniziato lo scorso ottobre e concluso solo nelle ultime ore dopo aver analizzato le carte depositate dalla Procura. Cinque consulenze e una memoria specifica per «contestare» gli ormai famosi soliloqui di Andrea Sempio. Ma nessuna richiesta di interrogatorio davanti ai pm. Se ne parlerà semmai davanti al giudice durante l’udienza che dovrà decidere sul rinvio a giudizio che sarà richiesto dalla Procura.
La difesa di Sempio, il 38enne accusato dalla procura di Pavia di omicidio aggravato per l’uccisione di Chiara Poggi, punta tutto sulla consulenza affidata a Giacomo De Angelis, esperto nella produzione di scarpe, per «smontare» la compatibilità tra il piede dell’indagato e le 25 tracce a pallini rilevate sulla scena del crimine e considerate l’impronta lasciata dal killer. In sostanza il piede di Sempio sarebbe a pianta troppo «larga» per quel tipo di scarpa. Un elemento che, secondo i legali Angela Taccia e Liborio Cataliotti, se provato basterebbe ad escludere Sempio dal delitto. Anche se le ultime consulenze della Procura affidate al Ris hanno, in realtà, messo in dubbio addirittura l’identificazione di quella traccia, data per certa nelle ricostruzioni dei processi a Alberto Stasi (condannato a 16 anni), in una scarpa Frau numero 42.","crime, law and justice",9,4,0.6817,0,silver,0,1
8dfkFfLSh0I,corriere_della_sera,Hostess molestata dal sindacalista nel caso “30 secondi”: chiesti due anni di reclusione per l’uomo,"Il sostituto pg di Milano Angelo Renna, nel processo di secondo grado bis, ha chiesto una condanna a 2 anni per l'ex sindacalista Raffaele Meola, che lavorava all'aeroporto di Malpensa, imputato per violenza sessuale nel processo scaturito dalla denuncia di Barbara D’Astolto, di professione hostess, che nel 2018 raccontò di aver subito abusi. Un caso che ha provocato polemiche, perché con due sentenze, di primo e secondo grado, il 48enne era stato assolto poiché, scrivevano i giudici, la donna in «30 secondi» avrebbe potuto opporsi.","crime, law and justice",6,3,0.6441,0,silver,0,1
BNuvGWhE3Ec,corriere_della_sera,"Trump annuncia: “Accordo fatto, Hormuz aperto e 60 giorni di tregua”","Nella serata di sabato (23 maggio ndr.) il presidente degli Usa ha annunciato che un accordo con l'Iran «è stato in gran parte negoziato» e che gli aspetti finali e i dettagli «sono attualmente in discussione e saranno annunciati a breve», tra questi c'è anche la riapertura di Hormuz che Trump ha assicurato.
Secondo la bozza dell'accordo, il cessate il fuoco verrebbe prorogato per 60 giorni, periodo durante il quale lo Stretto di Hormuz resterebbe aperto senza imposizione di tariffe o restrizioni alla navigazione commerciale. L'Iran si impegnerebbe inoltre a rimuovere eventuali mine collocate nel tratto marittimo per garantire la liberta' di passaggio delle navi.",politics and government,29,24,0.8443,1,silver,1,1
CAVns3bw4tc,corriere_della_sera,Un euro in più per il basilico sulla pizza Margherita: polemica a Bari,"C’è chi lo ha definito un dettaglio trascurabile e chi, invece, l’ennesimo simbolo di una ristorazione sempre più distante dalla percezione comune del cliente. A Bari, nelle ultime ore, a far discutere non è stata una pizza gourmet né un conto astronomico in un locale esclusivo, ma un semplice supplemento comparso su uno scontrino: un euro per l’aggiunta del basilico su una pizza Margherita.",lifestyle and leisure,24,12,0.7942,1,silver,1,1
E6p7Iil_X00,corriere_della_sera,«El Koudri non ha parlato al gip ma ha fornito i codici di sblocco del suo cellulare»,"ll punto del legale Fabio Giannelli intervistato dal nostro inviato Alfio Sciacca 

 Guarda il video su Corriere: https://video.corriere.it/cronaca/video-verticali/-el-koudri-non-ha-parlato-al-gip-ha-fornito-i-codici-di-sblocco-del-cellulare-/d2466cbf-f93d-42a6-b6fd-b7d245244xlk 

 Davanti al gip di Modena, nell'udienza di convalida che si è svolta in carcere, Salim El Koudri non ha detto nulla in merito ai fatti di sabato, quando aModena si è lanciato a tutta velocità con l'auto sui passanti, ma ha fornito i codici di sblocco del suo cellulare, che potrà così essere analizzato per approfondire la personalità e il passato del giovane. L'avvocato Fausto Gianelli fa il punto insieme al nostro inviato a Modena Alfio Sciacca.","crime, law and justice",43,31,0.8496,1,silver,1,1
EYMrDAN1H4U,corriere_della_sera,"Milano, flash mob per la Palestina: legati e inginocchiati come i membri della Flotilla",A Milano i manifestanti si sono legati e inginocchiati durante un flash mob per inscenare le condizioni di cattura a cui sono stati sottoposti i membri della Flotilla. Durante l’iniziativa sono stati esposti cartelli e striscioni con messaggi contro la guerra e a favore dell’apertura di corridoi umanitari.,"conflict, war and peace",25,21,0.8396,1,silver,1,1
EnSlebXIqvQ,corriere_della_sera,"A Casoria, Napoli, un 16enne è morto dopo aver mangiato un gelato: era allergico al lattosio","Un gelato consumato con degli amici, poi un malore improvviso e dopo qualche minuto, il decesso. Qualcosa è andato storto e questa è la sorte toccata ieri sera ad un ragazzo di 16 anni, Adriano D'Orsi. L'episodio si è verificato a Casoria, popoloso centro alle porte di Napoli, intorno alle 23 in una gelateria di via Bologna e l'autorità giudiziaria ha per questo disposto il sequestro della salma e l'autopsia.",health,11,2,0.4576,0,silver,0,1
F3zBXrBUUr8,corriere_della_sera,"È morto il fondatore di Slow Food Carlo Petrini, gastronomo visionario: faceva politica con il cibo","«Sediamoci a tavola». La regola, per Carlo Petrini, era questa. E lo aveva fatto anche con chi scrive, una delle prime volte che ci eravamo incontrati a Pollenzo, la sua creatura visionaria e illuminata: un’università dedicata alle Scienze gastronomiche che ancora oggi tutto il mondo ci invidia e che era la cosa di cui lui, presidente, andava più orgoglioso: «L’abbiamo ristrutturata senza soldi. Nessuno ci credeva. E invece... Sono venuti a studiarci da Harvard». Era a tavola dunque, per il fondatore del movimento mondiale di Slow food, che ci si guardava negli occhi e si ragionava sul futuro.
Ieri sera però il suo futuro si è fermato e Carlin, come lo chiamavano gli amici usando quel soprannome che era appartenuto al nonno, si è spento nella sua amatissima casa di Bra, in provincia di Cuneo.
Aveva 76 anni.",human interest,5,3,0.6613,0,silver,0,0
GF_i2HFVJ8s,corriere_della_sera,"A bordo di Luna Rossa, ecco com'è fatto l'AC40 in gara a Cagliari (aspettando l'America's Cup)","Cagliari si accende dal 22 al 24 maggio: due giorni di regate di flotta, poi la conclusione con il match race tra i migliori classificati. In gara anche Luna Rossa, che a Cagliari ha base da 10 anni 

 Guarda il video su Corriere: https://video.corriere.it/video-verticali/a-bordo-di-luna-rossa-ecco-com-e-fatto-l-ac40-in-gara-a-cagliari-aspettando-l-america-s-cup-/686b5d39-32dc-4ad0-833e-41c9325fdxlk 

 ​«Inizia finalmente il nuovo ciclo di America’s Cup. I velisti avranno la possibilità di testarsi in acqua contro gli altri equipaggi»: l’entusiasmo e l’adrenalina di Max Sirena, team director e skipper di Luna Rossa, è quello che caratterizza ogni componente del team per le regate preliminari di America’s Cup. È il primo passo della Road to Naples 2027: la prima edizione italiana della competizione velica più famosa e antica al mondo.Cagliari si accende dal 22 al 24 maggio: due giorni di regate di flotta, poi la conclusione con il match race tra i migliori classificati. In gara ci sono Luna Rossa, la squadra di casa, che a Cagliari ha la sua base da 10 anni; Emirates Team New Zealand, il defender della Coppa; gli inglesi di GB1; il team francese La Roche Posay Racing Team e gli svizzeri di Tudor Team Alinghi (assenti americani e australiani). Protagonista di queste regate preliminari è l’AC40, monoscafo foiling identico per tutti i team. «È una barca che trasmette tantissimo perché è relativamente piccola (meno di 12metri di lunghezza, ndr), che fa grandi velocità. Ha tanto grip sui foil, l’AC40 ha una grande forza G nelle virate e strambate e si raggiungono anche 50 nodi di velocità (oltre 90 km orari)» racconta Ruggero Tita, timoniere di Luna Rossa e oro olimpico nel Nacra 17 a Parigi 2024 e Tokyo 2021. A bordo, quattro velisti per un equipaggio misto con l’integrazione di giovani e donne nel team principale. «C’è un punto della regata in cui diventiamo una cosa sola. Sarà una regata di altissimo livello, ma siamo sotto pressione perché soltanto in acqua scopriremo a che punto di preparazione siamo» dice Margherita Porro, timoniera di Luna Rossa.«Sentiremo il pubblico, i tifosi, ci aspettiamo migliaia di barche in mare» aggiunge Max Sirena che già guarda al prossimo anno, «per la prima volta dopo l’edizione dell’America’s Cup di Barcellona, abbiamo messo in acqua l’AC75 che sarà poi la barca dell'America's Cup. Abbiamo fatto le prime prove dei nuovi sistemi di volo della barca. Da un punto di vista di geometrie, è la stessa ma avrà un cuore nuovo: non ci saranno più i ciclisti, i sistemi di bordo verranno cambiati. Sarà quella che useremo per la competizione vera e propria e alla fine di queste regate inizieremo a lavorare in vista di Napoli».",sport,4,3,0.6843,0,silver,0,0
HTk49Sg3ScQ,corriere_della_sera,Neymar Jr. in lacrime dopo la convocazione al prossimo Mondiale con il Brasile,"La Seleção, la nazionale brasiliana, ritrova il suo Neymar. Carlo Ancelotti, allenatore dei Verdeoro, ha annunciato ieri, in diretta televisiva, la lista dei convocati per i prossimi Mondiali, che inizieranno l’11 giugno in tre Paesi: Messico, Canada e Stati Uniti. Al momento della lettura del nome di Neymar Jr., il giocatore del Santos si è commosso fino alle lacrime. Sul web, però, sono diventati virali anche moltissimi video in cui si vedono tifosi brasiliani esultare per il ritorno in nazionale del calciatore, molto amato nel Paese.",sport,1,1,0.5,0,silver,0,0
